cycles,ce_mean,ce_std,we_mean,we_std,oe_mean,oe_std
12,102.0,0.31456,103.86,1.5396,102.59,0.36892
11,93.673,0.29683,96.544,0.46573,94.21,0.3699
10,85.148,0.31624,85.164,0.468,85.73,0.34683
9,76.819,0.35623,76.948,0.29791,77.452,0.26447
8,68.52,0.4793,68.732,0.35457,69.187,0.49034
7,59.879,0.27648,62.114,1.5226,60.826,0.21297
6,51.684,0.43756,51.851,0.36282,52.471,0.47
5,43.464,0.37621,43.419,0.42605,44.285,0.43471
4,34.952,0.33478,34.886,0.39978,35.676,0.43115
3,26.692,0.31219,27.006,0.29782,27.564,0.44054
2,18.226,0.33035,18.54,0.26417,19.124,0.33258
1,12.208,0.257,11.07,0.34814,12.208,0.36312
